year,age,mx,qx,ax,lx,dx,Lx,Tx,ex
2015,0,0.00329,0.00328,0.14,100000,328,99719,8516957,85.17
2015,1,2.3e-4,2.3e-4,0.5,99672,23,99660,8417238,84.45
2015,2,1.2e-4,1.2e-4,0.5,99648,12,99642,8317578,83.47
2015,3,1.4e-4,1.4e-4,0.5,99637,14,99630,8217936,82.48
2015,4,8e-5,8e-5,0.5,99623,8,99619,8118306,81.49
2015,5,7e-5,7e-5,0.5,99615,7,99611,8018687,80.5
2015,6,8e-5,8e-5,0.5,99608,8,99604,7919076,79.5
2015,7,7e-5,7e-5,0.5,99600,7,99596,7819472,78.51
2015,8,6e-5,6e-5,0.5,99593,6,99590,7719876,77.51
2015,9,6e-5,6e-5,0.5,99587,6,99584,7620286,76.52
2015,10,7e-5,7e-5,0.5,99581,7,99577,7520702,75.52
2015,11,6e-5,6e-5,0.5,99574,6,99571,7421125,74.53
2015,12,8e-5,8e-5,0.5,99568,8,99564,7321554,73.53
2015,13,8e-5,8e-5,0.5,99560,8,99556,7221990,72.54
2015,14,1e-4,1e-4,0.5,99552,10,99547,7122434,71.55
2015,15,1.5e-4,1.5e-4,0.5,99541,15,99534,7022888,70.55
2015,16,1.6e-4,1.6e-4,0.5,99527,16,99519,6923354,69.56
2015,17,1.3e-4,1.3e-4,0.5,99511,12,99505,6823834,68.57
2015,18,2.1e-4,2.1e-4,0.5,99499,21,99488,6724329,67.58
2015,19,1.9e-4,1.9e-4,0.5,99478,19,99468,6624841,66.6
2015,20,2.3e-4,2.3e-4,0.5,99459,23,99448,6525373,65.61
2015,21,2.2e-4,2.2e-4,0.5,99436,22,99425,6425925,64.62
2015,22,1.8e-4,1.8e-4,0.5,99414,18,99405,6326500,63.64
2015,23,2.2e-4,2.2e-4,0.5,99397,22,99386,6227095,62.65
2015,24,2.3e-4,2.3e-4,0.5,99375,23,99363,6127709,61.66
2015,25,2.4e-4,2.4e-4,0.5,99351,24,99339,6028346,60.68
2015,26,2.1e-4,2.1e-4,0.5,99327,21,99316,5929007,59.69
2015,27,2.4e-4,2.4e-4,0.5,99306,24,99294,5829691,58.7
2015,28,2.4e-4,2.4e-4,0.5,99282,24,99270,5730397,57.72
2015,29,3.1e-4,3.1e-4,0.5,99258,31,99243,5631127,56.73
2015,30,2.7e-4,2.7e-4,0.5,99227,26,99214,5531884,55.75
2015,31,3.7e-4,3.7e-4,0.5,99201,37,99183,5432669,54.76
2015,32,3.4e-4,3.4e-4,0.5,99165,33,99148,5333487,53.78
2015,33,3.7e-4,3.7e-4,0.5,99131,37,99113,5234339,52.8
2015,34,3.7e-4,3.7e-4,0.5,99094,36,99076,5135226,51.82
2015,35,4e-4,4e-4,0.5,99058,40,99038,5036150,50.84
2015,36,5.4e-4,5.4e-4,0.5,99018,54,98992,4937112,49.86
2015,37,5.4e-4,5.4e-4,0.5,98965,53,98938,4838120,48.89
2015,38,6.3e-4,6.3e-4,0.5,98912,62,98880,4739182,47.91
2015,39,6.6e-4,6.6e-4,0.5,98849,65,98817,4640302,46.94
2015,40,7.4e-4,7.4e-4,0.5,98785,73,98748,4541485,45.97
2015,41,8.2e-4,8.2e-4,0.5,98711,81,98671,4442737,45.01
